Ticker,Window,Model,Samples,Accuracy,Accuracy_Std,Precision,Recall,Specificity,F-Score,AUC
AAPL,15,LightGBM,1231,0.5078305519897304,0.11980718556107058,0.5836978787059406,0.7176115927530711,0.20916326653491835,0.6223392392281452,0.49414779150624033
AAPL,15,CatBoost,1231,0.5402982126987262,0.10783743705773931,0.6029675503122298,0.8212601505482029,0.13385582352486158,0.679512106944187,0.4697363677892915
MSFT,1,Random Forest,1231,0.6767157104769428,0.04600971604382715,0.7263160426375007,0.7364189086026776,0.5772946162592522,0.7220090505542884,0.724121857406849
MSFT,1,XGBoost,1231,0.6466245350712616,0.008679283264595794,0.7227517110855995,0.687610171958497,0.5779929198963629,0.6906451064572673,0.6757105409795784
MSFT,1,Gradient Boosting,1231,0.6401303446232843,0.018271496993872774,0.7150464913803725,0.6776074926258945,0.5700127723799907,0.6835732777822194,0.6935586268117855
MSFT,1,LightGBM,1231,0.6604160495046246,0.026431688653178874,0.7191472712436788,0.7305030788561447,0.5529485129559764,0.7139983383916099,0.7178570178250829
MSFT,1,CatBoost,1231,0.6848556663704288,0.05948264019658253,0.708385074231216,0.7868752149852518,0.5199656786478403,0.7408813422656435,0.7314538996123023
MSFT,2,Random Forest,1231,0.6312004213159541,0.031658119671321906,0.7015100031776053,0.6835380488180454,0.551865588715742,0.6800861742268927,0.6813432508631377
MSFT,2,XGBoost,1231,0.5709983213192455,0.07529483428546928,0.6770940350753587,0.606064179333994,0.5446318393524295,0.6064129853281535,0.6213971824473512
MSFT,2,Gradient Boosting,1231,0.6044106513939633,0.02589421515806478,0.6945934703166017,0.6460132059255513,0.5488037268159229,0.6448100410422144,0.67043479425249
MSFT,2,LightGBM,1231,0.6238372667127481,0.04105415076644519,0.7013045899980662,0.6975833650801879,0.5313600967272551,0.6774148086167521,0.6786187926020821
MSFT,2,CatBoost,1231,0.6596655804614725,0.060004115765761576,0.6898630932008828,0.7756306759771581,0.48655695611025357,0.722890470137539,0.6968670760587393
MSFT,5,Random Forest,1231,0.5182581218524736,0.0757994674851913,0.6309273417589847,0.5955587261744008,0.4422770757234165,0.5749660693311139,0.5574214414551614
MSFT,5,XGBoost,1231,0.5003357361508838,0.1070191812098666,0.6355220577538094,0.554911695296321,0.47546400615053236,0.5364435253674099,0.5281025786957374
MSFT,5,Gradient Boosting,1231,0.5060860406174912,0.08776993207906326,0.6197793035350758,0.5730318898805229,0.44594988826797444,0.5492126286971477,0.548057266925193
MSFT,5,LightGBM,1231,0.503594351732991,0.10889860977745536,0.6256533638115683,0.5774718353223804,0.43886110756485214,0.5502037097673924,0.560302248396061
MSFT,5,CatBoost,1231,0.5523847141305421,0.08804774073031947,0.6428823445844604,0.6978369457131911,0.3950602681706073,0.6351057362036384,0.5867770674735542
MSFT,10,Random Forest,1231,0.48493466311181327,0.12575531040565902,0.5993134123122803,0.5707220402800027,0.4030972186419729,0.5329843488171764,0.486646673219388
MSFT,10,XGBoost,1231,0.49223198709719884,0.13209216819433392,0.615240258705108,0.5006400295967443,0.5061193966343452,0.49405991724681286,0.48522826563140553
MSFT,10,Gradient Boosting,1231,0.4841479872288601,0.12693363655067172,0.6160008233932703,0.4978459627682713,0.48955513886961066,0.4856689010133771,0.48881298652037836
MSFT,10,LightGBM,1231,0.49633981764918855,0.12161463490809173,0.6169966182252794,0.50580750732804,0.5050222498727635,0.49995386150818577,0.49914757400498716
MSFT,10,CatBoost,1231,0.4866001777426681,0.11987055035640116,0.5980910518041094,0.5963919413919413,0.3717801853577716,0.5435194506845411,0.46830332504902694
MSFT,15,Random Forest,1231,0.5036799315361574,0.1569633328904393,0.602140862925011,0.573897024490764,0.44094637988460306,0.5417561876378837,0.4864818128896946
MSFT,15,XGBoost,1231,0.5004443566702873,0.14054840951607978,0.6019787995487611,0.5189385701814087,0.47967202167555173,0.5045519782033079,0.44932486348711365
MSFT,15,Gradient Boosting,1231,0.5288930581613508,0.1336394001042068,0.6325918465268592,0.6006189295398086,0.46767485782516494,0.5703356837182623,0.4963466493102534
MSFT,15,LightGBM,1231,0.5061222474572924,0.1365690826880702,0.6122558678643872,0.5525881969583232,0.4644837784657515,0.5225827539550153,0.4793292933040112
MSFT,15,CatBoost,1231,0.46467199894671013,0.1298720497542665,0.5764845055550978,0.5643154900487783,0.40598074665878725,0.5010105747401654,0.42918785682285393
GOOGL,1,Random Forest,1231,0.6256081103321154,0.07991342811110684,0.6629160683031267,0.7329579758257591,0.4919943530162322,0.6804265012706029,0.6450691540700288
GOOGL,1,XGBoost,1231,0.5703367236101511,0.09872628388283433,0.6381303996225044,0.664589136293366,0.4721451451534877,0.6238218772720068,0.5942693687411783
GOOGL,1,Gradient Boosting,1231,0.5760376551133932,0.08492869556739419,0.6260983165889613,0.7015965816112466,0.4227020644108473,0.6408030681439773,0.6066561479657948
